,Link,Num
32,/biz/red-line-cafe-chicago?osq=cafe,15
33,/biz/coffee-slasticarna-drina-chicago?osq=cafe,15
34,/biz/emerald-city-coffee-chicago?osq=cafe,15
35,/biz/city-news-cafe-chicago?osq=cafe,15
36,/biz/cupitol-coffee-and-eatery-chicago?osq=cafe,15
37,/biz/mojo-coffee-chicago?osq=cafe,15
38,/biz/fabcakes-chicago?osq=cafe,15
39,/biz/emerald-city-coffee-chicago-3?osq=cafe,15
40,/biz/sip-and-savor-chicago?osq=cafe,16
41,/biz/step-down-cafe-chicago?osq=cafe,16
42,/biz/intelligentsia-coffee-chicago-9?osq=cafe,16
43,/biz/west-town-bakery-and-tap-chicago?osq=cafe,16
44,/biz/xurro-chicago-3?osq=cafe,16
45,/biz/morgan-street-cafe-chicago?osq=cafe,16
46,/biz/the-crepe-shop-chicago?osq=cafe,16
47,/biz/plein-air-cafe-and-eatery-chicago-2?osq=cafe,16
48,/biz/br%C3%BC-coffeeworks-chicago?osq=cafe,16
49,/biz/m2-cafe-chicago-3?osq=cafe,16
50,/biz/dropshot-coffee-and-snack-bar-chicago-2?osq=cafe,17
51,/biz/dollop-coffee-company-chicago-2?osq=cafe,17
52,/biz/limitless-coffee-and-teas-chicago?osq=cafe,17
53,/biz/cafe-selmarie-chicago?osq=cafe,17
54,/biz/a87-cafe-and-restaurant-chicago?osq=cafe,17
55,/biz/corner-bakery-cafe-chicago-40?osq=cafe,17
56,/biz/charmers-cafe-chicago-4?osq=cafe,17
57,/biz/cafe-53-chicago?osq=cafe,17
58,/biz/joe-and-the-juice-chicago-6?osq=cafe,17
59,/biz/pierrot-gourmet-chicago?osq=cafe,17
60,/biz/westons-coffee-and-tap-co-chicago-2?osq=cafe,18
61,/biz/cafecito-chicago-2?osq=cafe,18
62,/biz/bridgeport-coffee-chicago-4?osq=cafe,18
63,/biz/intelligentsia-coffee-chicago-7?osq=cafe,18
64,/biz/dollop-coffee-co-chicago-4?osq=cafe,18
65,/biz/nilly-cafe-chicago-2?osq=cafe,18
66,/biz/letizias-natural-bakery-chicago?osq=cafe,18
67,/biz/nighthawk-am-chicago-2?osq=cafe,18
68,/biz/intersect-chicago?osq=cafe,18
69,/biz/caff%C3%A8-r%C5%8Dm-chicago-6?osq=cafe,18
70,/biz/beatrix-streeterville-chicago?osq=cafe,19
71,/biz/kusanya-cafe-chicago?osq=cafe,19
72,/biz/green-tomato-cafe-chicago?osq=cafe,19
73,/biz/interurban-boathouse-chicago?osq=cafe,19
74,/biz/joe-and-the-juice-chicago-7?osq=cafe,19
75,/biz/1890-caf%C3%A9-berwyn?osq=cafe,19
76,/biz/veranda-pizza-and-coffee-shop-chicago?osq=cafe,19
77,/biz/warm-belly-bakery-chicago?osq=cafe,19
78,/biz/maison-marcel-chicago?osq=cafe,19
79,/biz/cafe-antigua-chicago?osq=cafe,19
80,/biz/royal-coffee-chicago?osq=cafe,20
81,/biz/janiks-cafe-chicago-2?osq=cafe,20
82,/biz/la-colombe-coffee-chicago-4?osq=cafe,20
83,/biz/blue-door-farm-stand-chicago-5?osq=cafe,20
84,/biz/caribella-chicago-2?osq=cafe,20
85,/biz/tous-les-jours-chicago-2?osq=cafe,20
86,/biz/the-book-cellar-chicago?osq=cafe,20
87,/biz/capital-one-caf%C3%A9-chicago-2?osq=cafe,20
88,/biz/do-rite-donuts-and-coffee-chicago-2?osq=cafe,20
89,/biz/new-wave-coffee-chicago?osq=cafe,20
90,/biz/ellipsis-coffeehouse-chicago?osq=cafe,21
91,/biz/smack-dab-chicago-11?osq=cafe,21
92,/biz/petit-margeaux-chicago?osq=cafe,21
93,/biz/first-slice-chicago-2?osq=cafe,21
94,/biz/dollop-coffee-and-tea-chicago?osq=cafe,21
95,/biz/eataly-chicago-3?osq=cafe,21
96,/biz/citygrounds-coffee-bar-chicago?osq=cafe,21
97,/biz/espressamente-illy-chicago?osq=cafe,21
98,/biz/robust-coffee-lounge-chicago?osq=cafe,21
99,/biz/atomix-chicago?osq=cafe,21
100,/biz/chiya-chai-cafe-chicago-3?osq=cafe,22
101,/biz/gallery-cafe-chicago?osq=cafe,22
102,/biz/cafe-tola-chicago?osq=cafe,22
103,/biz/intelligentsia-coffee-chicago-12?osq=cafe,22
104,/biz/windy-kitty-cat-cafe-chicago?osq=cafe,22
105,/biz/la-colombe-coffee-chicago?osq=cafe,22
